source,Description,price,Revenue,Cash Flow,EBITA
https://gottesman-company.com/active_sellers/s-2807-4-sfr/," Sales, Service & Installation of Industrial Air Compressor & Vacuum Pump Systems  ",NA,16000000.0,NA,4000000.0
https://gottesman-company.com/active_sellers/s-2409-3-djk/, Commercial Concrete Repair & Restoration Company  ,NA,9200000.0,NA,1400000.0
https://gottesman-company.com/active_sellers/s-3084-27-sbb/," Staffing Agency: Automotive, Snow Removal, Security  ",NA,44000000.0,NA,9500000.0
https://gottesman-company.com/active_sellers/s-2035-lb-bf/, Deluxe Counter Top Manufacturer  ,NA,8000000.0,NA,1500000.0
https://gottesman-company.com/active_sellers/s-3232-20-sbb/, Digital Marketing Agency  ,NA,14500000.0,NA,3200000.0
https://gottesman-company.com/active_sellers/s-3084-26-sbb/, Event Production Equipment Rental & Sales  ,NA,12000000.0,NA,2400000.0
https://gottesman-company.com/active_sellers/s-3084-25-sbb/, Large Storage Tank Repair & Restoration Company  ,NA,5100000.0,NA,3000000.0
https://gottesman-company.com/active_sellers/s-3094-1-sfr/, Full Service Medical Laboratory  ,NA,7900000.0,NA,-2300000.0
https://gottesman-company.com/active_sellers/s-2030-ts/, Transportation Logistic Company  ,NA,57400000.0,NA,3400000.0
https://gottesman-company.com/active_sellers/s-3278-1-pls/, Specialty Design-Build Construction Firm  ,NA,22600000.0,NA,5700000.0
https://gottesman-company.com/active_sellers/s-884-7-cam/, Automotive Aftermarket Products Company  ,NA,63100000.0,NA,8700000.0
https://gottesman-company.com/active_sellers/s-884-6-cam/, Premier Family Attraction Park  ,NA,17700000.0,NA,4600000.0
https://gottesman-company.com/active_sellers/s-2031-lmh/, Differentiated Stair Company  ,NA,10700000.0,NA,1400000.0
https://gottesman-company.com/active_sellers/s-3084-24-sbb/, Gears Engineering & Enhancing OEM Parts  ,NA,7400000.0,NA,2500000.0
https://gottesman-company.com/active_sellers/s-3274-2-jsi/, Unique Construction Company  ,NA,45000000.0,NA,4000000.0
https://gottesman-company.com/active_sellers/s-2008-rob/, Leading Residential Infrastructure Provider  ,NA,25000000.0,NA,2500000.0
https://gottesman-company.com/active_sellers/s-3277-1-can/, Solar Power Construction  ,NA,7000000.0,NA,2000000.0
https://gottesman-company.com/active_sellers/s-3119-9-jml/, Logistics & Warehousing  ,NA,7400000.0,NA,1500000.0
https://gottesman-company.com/active_sellers/s-3084-23-sbb/, IT Solutions Company  ,NA,16000000.0,NA,2900000.0
https://gottesman-company.com/active_sellers/s-3232-19-sbb/, Vitamins & Supplements: Anti-Aging  ,NA,33000000.0,NA,20000000.0
https://gottesman-company.com/active_sellers/s-3232-18-sbb/," Ecommerce Brands Household Brands for Sale Extermination, Cleaning Supplies, Air Filtration  ",NA,56000000.0,NA,9400000.0
https://gottesman-company.com/active_sellers/s-3276-1-sbb/, Yacht and Catamaran Manufacturer  ,NA,9800000.0,NA,1100000.0
https://gottesman-company.com/active_sellers/s-781-7-bcs/," Packaging Customization, Manufacturing and Distribution  ",NA,9000000.0,NA,900000.0
https://gottesman-company.com/active_sellers/s-923-1-cnc/, Pile Construction Company  ,NA,4400000.0,NA,1200000.0
https://gottesman-company.com/active_sellers/s-3274-1-jsi/," Industrial, Oil & Gas Manufacturer  ",NA,7300000.0,NA,2900000.0
https://gottesman-company.com/active_sellers/s-1752-2-ces/, Mechanical Systems Contractor  ,NA,17300000.0,NA,6000000.0
https://gottesman-company.com/active_sellers/s-3232-16-sbb/, Women's & Jr's Apparel & Cosmetic Brands  ,NA,17000000.0,NA,3200000.0
https://gottesman-company.com/active_sellers/s-3119-8-jml/, Dry Bulk Transportation  ,NA,7900000.0,NA,1100000.0
